PianoKey,319.50(639),344.00(172),370.50(741),396.00(396),417.00(417),426.00(852),468.00(936),528.00(528),570.00(285)
1,19.9688,21.5000,23.1563,24.7500,26.0625,26.6250,29.2500,33.0000,35.6250
2,21.1562,22.7785,24.5332,26.2217,27.6123,28.2082,30.9893,34.9623,37.7434
3,22.4142,24.1329,25.9920,27.7809,29.2542,29.8856,32.8320,37.0412,39.9877
4,23.7470,25.5680,27.5376,29.4329,30.9937,31.6626,34.7843,39.2438,42.3655
5,25.1590,27.0883,29.1750,31.1830,32.8367,33.5454,36.8527,41.5774,44.8847
6,26.6551,28.6991,30.9099,33.0373,34.7893,35.5401,39.0441,44.0497,47.5537
7,28.2401,30.4056,32.7479,35.0018,36.8579,37.6534,41.3657,46.6690,50.3814
8,29.9193,32.2136,34.6952,37.0831,39.0496,39.8924,43.8255,49.4441,53.3772
9,31.6984,34.1291,36.7583,39.2882,41.3716,42.2646,46.4315,52.3842,56.5512
10,33.5833,36.1585,38.9440,41.6244,43.8317,44.7777,49.1924,55.4992,59.9139
11,35.5803,38.3086,41.2597,44.0995,46.4381,47.4404,52.1176,58.7993,63.4765
12,37.6960,40.5866,43.7132,46.7218,49.1994,50.2613,55.2166,62.2957,67.2510
13,39.9375,43.0000,46.3125,49.5000,52.1250,53.2500,58.5000,66.0000,71.2500
14,42.3123,45.5569,49.0664,52.4434,55.2245,56.4164,61.9786,69.9246,75.4867
15,44.8283,48.2659,51.9840,55.5619,58.5083,59.7711,65.6640,74.0825,79.9754
16,47.4940,51.1359,55.0752,58.8658,61.9874,63.3253,69.5686,78.4877,84.7310
17,50.3181,54.1766,58.3501,62.3661,65.6734,67.0908,73.7054,83.1548,89.7694
18,53.3102,57.3981,61.8198,66.0746,69.5785,71.0802,78.0881,88.0994,95.1073
19,56.4802,60.8112,65.4958,70.0036,73.7159,75.3069,82.7315,93.3381,100.7630
20,59.8386,64.4272,69.3903,74.1662,78.0993,79.7849,87.6510,98.8883,106.7540
21,63.3968,68.2582,73.5165,78.5764,82.7433,84.5291,92.8630,104.7680,113.1020
22,67.1666,72.3171,77.8880,83.2487,87.6635,89.5555,98.3849,110.9980,119.8280
23,71.1605,76.6173,82.5195,88.1990,92.8762,94.8807,104.2350,117.5990,126.9530
24,75.3920,81.1732,87.4264,93.4436,98.3989,100.5230,110.4330,124.5910,134.5020
25,79.8750,86.0000,92.6250,99.0000,104.2500,106.5000,117.0000,132.0000,142.5000
26,84.6246,91.1138,98.1328,104.8870,110.4490,112.8330,123.9570,139.8490,150.9730
27,89.6567,96.5317,103.9680,111.1240,117.0170,119.5420,131.3280,148.1650,159.9510
28,94.9879,102.2720,110.1500,117.7320,123.9750,126.6510,139.1370,156.9750,169.4620
29,100.6360,108.3530,116.7000,124.7320,131.3470,134.1820,147.4110,166.3100,179.5390
30,106.6200,114.7960,123.6400,132.1490,139.1570,142.1600,156.1760,176.1990,190.2150
31,112.9600,121.6220,130.9920,140.0070,147.4320,150.6140,165.4630,186.6760,201.5250
32,119.6770,128.8540,138.7810,148.3320,156.1990,159.5700,175.3020,197.7770,213.5090
33,126.7940,136.5160,147.0330,157.1530,165.4870,169.0580,185.7260,209.5370,226.2050
34,134.3330,144.6340,155.7760,166.4970,175.3270,179.1110,196.7700,221.9970,239.6550
35,142.3210,153.2350,165.0390,176.3980,185.7520,189.7610,208.4700,235.1970,253.9060
36,150.7840,162.3460,174.8530,186.8870,196.7980,201.0450,220.8670,249.1830,269.0040
37,159.7500,172.0000,185.2500,198.0000,208.5000,213.0000,234.0000,264.0000,285.0000
38,169.2490,182.2280,196.2660,209.7740,220.8980,225.6660,247.9140,279.6980,301.9470
39,179.3130,193.0630,207.9360,222.2470,234.0330,239.0840,262.6560,296.3300,319.9020
40,189.9760,204.5440,220.3010,235.4630,247.9500,253.3010,278.2740,313.9510,338.9240
41,201.2720,216.7060,233.4000,249.4640,262.6940,268.3630,294.8220,332.6190,359.0770
42,213.2410,229.5920,247.2790,264.2980,278.3140,284.3210,312.3530,352.3980,380.4290
43,225.9210,243.2450,261.9830,280.0140,294.8640,301.2270,330.9260,373.3520,403.0510
44,239.3550,257.7090,277.5610,296.6650,312.3970,319.1390,350.6040,395.5530,427.0180
45,253.5870,273.0330,294.0660,314.3050,330.9730,338.1160,371.4520,419.0740,452.4090
46,268.6660,289.2680,311.5520,332.9950,350.6540,358.2220,393.5400,443.9930,479.3110
47,284.6420,306.4690,330.0780,352.7960,371.5050,379.5230,416.9410,470.3950,507.8120
48,301.5680,324.6930,349.7050,373.7740,393.5960,402.0900,441.7330,498.3660,538.0080
49,319.5000,344.0000,370.5000,396.0000,417.0000,426.0000,468.0000,528.0000,570.0000
50,338.4980,364.4550,392.5310,419.5470,441.7960,451.3310,495.8290,559.3970,603.8940
51,358.6270,386.1270,415.8720,444.4950,468.0670,478.1690,525.3120,592.6600,639.8030
52,379.9520,409.0870,440.6010,470.9260,495.8990,506.6020,556.5490,627.9010,677.8480
53,402.5450,433.4130,466.8010,498.9290,525.3870,536.7260,589.6430,665.2380,718.1550
54,426.4810,459.1850,494.5580,528.5970,556.6280,568.6420,624.7050,704.7950,760.8590
55,451.8410,486.4890,523.9660,560.0290,589.7270,602.4550,661.8520,746.7050,806.1020
56,478.7090,515.4180,555.1230,593.3300,624.7940,638.2790,701.2080,791.1060,854.0350
57,507.1750,546.0660,588.1320,628.6110,661.9460,676.2330,742.9040,838.1480,904.8190
58,537.3330,578.5370,623.1040,665.9900,701.3080,716.4440,787.0790,887.9870,958.6220
59,569.2840,612.9380,660.1560,705.5920,743.0100,759.0460,833.8810,940.7890,1015.6200
60,603.1360,649.3860,699.4110,747.5480,787.1910,804.1810,883.4660,996.7310,1076.0200
61,639.0000,688.0000,741.0000,792.0000,834.0000,852.0000,936.0000,1056.0000,1140.0000
62,676.9970,728.9110,785.0620,839.0950,883.5920,902.6630,991.6570,1118.7900,1207.7900
63,717.2530,772.2540,831.7440,888.9900,936.1330,956.3380,1050.6200,1185.3200,1279.6100
64,759.9030,818.1740,881.2020,941.8520,991.7990,1013.2000,1113.1000,1255.8000,1355.7000
65,805.0900,866.8260,933.6010,997.8570,1050.7700,1073.4500,1179.2900,1330.4800,1436.3100
66,852.9630,918.3700,989.1160,1057.1900,1113.2600,1137.2800,1249.4100,1409.5900,1521.7200
67,903.6820,972.9790,1047.9300,1120.0600,1179.4500,1204.9100,1323.7000,1493.4100,1612.2000
68,957.4180,1030.8400,1110.2500,1186.6600,1249.5900,1276.5600,1402.4200,1582.2100,1708.0700
69,1014.3500,1092.1300,1176.2600,1257.2200,1323.8900,1352.4700,1485.8100,1676.3000,1809.6400
70,1074.6700,1157.0700,1246.2100,1331.9800,1402.6200,1432.8900,1574.1600,1775.9700,1917.2400
71,1138.5700,1225.8800,1320.3100,1411.1800,1486.0200,1518.0900,1667.7600,1881.5800,2031.2500
72,1206.2700,1298.7700,1398.8200,1495.1000,1574.3800,1608.3600,1766.9300,1993.4600,2152.0300
73,1278.0000,1376.0000,1482.0000,1584.0000,1668.0000,1704.0000,1872.0000,2112.0000,2280.0000
74,1353.9900,1457.8200,1570.1200,1678.1900,1767.1800,1805.3300,1983.3100,2237.5900,2415.5800
75,1434.5100,1544.5100,1663.4900,1777.9800,1872.2700,1912.6800,2101.2500,2370.6400,2559.2100
76,1519.8100,1636.3500,1762.4000,1883.7000,1983.6000,2026.4100,2226.2000,2511.6100,2711.3900
77,1610.1800,1733.6500,1867.2000,1995.7100,2101.5500,2146.9100,2358.5700,2660.9500,2872.6200
78,1705.9300,1836.7400,1978.2300,2114.3900,2226.5100,2274.5700,2498.8200,2819.1800,3043.4300
79,1807.3600,1945.9600,2095.8600,2240.1100,2358.9100,2409.8200,2647.4100,2986.8200,3224.4100
80,1914.8400,2061.6700,2220.4900,2373.3200,2499.1800,2553.1200,2804.8300,3164.4200,3416.1400
81,2028.7000,2184.2600,2352.5300,2514.4400,2647.7800,2704.9300,2971.6100,3352.5900,3619.2700
82,2149.3300,2314.1500,2492.4200,2663.9600,2805.2300,2865.7700,3148.3200,3551.9500,3834.4900
83,2277.1400,2451.7500,2640.6200,2822.3700,2972.0400,3036.1800,3335.5200,3763.1600,4062.5000
84,2412.5400,2597.5400,2797.6400,2990.1900,3148.7600,3216.7200,3533.8700,3986.9300,4304.0700
85,2556.0000,2752.0000,2964.0000,3168.0000,3336.0000,3408.0000,3744.0000,4224.0000,4560.0000
86,2707.9900,2915.6400,3140.2500,3356.3800,3534.3700,3610.6500,3966.6300,4475.1700,4831.1500
87,2869.0100,3089.0200,3326.9800,3555.9600,3744.5300,3825.3500,4202.5000,4741.2800,5118.4300
88,3039.6100,3272.7000,3524.8100,3767.4100,3967.1900,4052.8200,4452.3900,5023.2100,5422.7800
